企　業　名,職種,22年度,,,,,23年度,,,,,24年度,,,,,25年度,,,,,26年度,,,,
,,機,知,情,生,電,機,知,情,生,電,機,知,情,生,環,機,知,情,生,環,機,知,情,生,環
正和建設,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,
セイコーエプソン（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
生晃栄養薬品（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,1,
セーレン,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
西濃運輸(株) 　上場名　セイノーホールディングス(株)　,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
静菱コンピュータ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)関ヶ原製作所　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
セキスイハイム東海㈱,Ｋ,,,,,,,,,,,,,,,,,,,,1,,,,,
セキ技研(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ゼネラルエンジニアリング(株),Ｒ,,,,,,,,,,,,1,,,,,,,,,,,,,
セントラルコンベア(株)    ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)総合システムサービス,Ｇ,,1,,,,,,,,,,,,,,,,,,,,,,,
(株)ソディック,Ｅ,,,,,,,,,,,1,,,,,,,,,,,,,,
(株)ソディックプラステック　　　   ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ソニーイーエムシーエス㈱,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ソニーケミカル＆インフォメーションデバイス,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ソニー根上(株)　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)園田ガスセンター　,Ｆ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ソフィックス名古屋    ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ソフトウエア開発(株)　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ソフトウエア興業(株)　,Ｇ,,,1,,,,,,,,,,,,,,,,,,,,,,
（株）ソフトウェアサービス,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ソフトウエア情報開発(株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ソフトウェーブ　　　　　　　　　　,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ソフトバンク金沢,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ソラン北陸（株）,Ｇ,,,,,,,,1,,,,,1,,,,,,,,,,,,
(株)第一技研,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)第一コンピュータリソース,Ｇ,,,,,,,,1,,,,,1,,,,,,,,,,,,
(株)第一システムエンジニアリング  ,Ｅ,,,,,,,,,,,,,,,,,1,,,,,,,,
第一電気工業（株）,Ｄ,,,,,,,,,,,,1,,,,,,,,,,,,,
ダイキン工業(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ダイシン工業(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
大進精工（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
大成化工(株),Ｅ,1,,,,,,,,,,,,,,,,,,,,,,,,
大鉄工業（株）,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,1
(株) ダイセキ,Ｅ,,1,,,,,,,,,,,,,,,,,,,,,,,
（株）タイックス,Ｅ,,,,,,,,,,,1,,,,,,,,,,,,,,
タイテック（株）　　　,Ｅ,,,,,,,,,1,,,,,,,,,,,,,,,,
大同コンサルタンツ（株）,Ｄ,,,,,,,,,,,,,,,,,,,,1,,,,,
大同特殊鋼(株)     ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
大日電子(株) 　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
大明化学工業（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
(株)ダイフク　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
太平洋工業(株)                ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
高松機械工業（株）,Ｅ,,,,,,,,,,,,1,,,,,,,,,,,1,,
大豊建設(株) 　　　,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,
大豊工業(株) 　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ダイヤソフテック         ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
太陽精機(株) 　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
大洋電機(株) 　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ダイワ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
大和機工(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
高木産業（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）高木製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
高島屋日発工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
タカノ（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
宝グループ        ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)タスク,Ｇ,,,,,,,,,,,,,,,,1,,,,,,,,,
辰巳化学（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,1,
タック(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ダッド,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
タケダ機械(株) 　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
竹田設計工業（株）,Ｌ,,,,,,1,,,,,,,,,,,,,,,,1,,,
タケチ工業ゴム(株) ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
武生松下電器(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)田中製作所　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
タバイエスペック(株) ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ＷＤＢエウレカ(株),Ｒ,,,,,,,,,1,,,,,,,,,,,,,,,,
多摩川精機,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
玉川物産㈱,Ｒ,,,,,,,,,,1,,,,,,,,,,,,,,,
(株)タミヤ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
丹波鋳造（株）,Ｅ,,1,,,,,,,,,,,,,,,,,,,,,,,
（株）ＴＢエンジニアリング,Ｅ,,,,,,,,,,,,,,,,,1,,,,,,,,
知多鋼業（株）,Ｅ,,,,,,,,,,,1,,,,,,,,,,,,,,
（株）中央エンジニアリング,Ｅ,,,,,,,,,,,,,,,,1,,,,,,,,,
中央コンサルタンツ（株）,Ｄ,,,,,,,,,,,,,,,1,,,,,,,,,,
中信アスナ（株）,Ｄ,,,,,,,,,,,,,,,,,,,,1,,,,,
(株)中央電機産業,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
㈱中央設計技術研究所,Ｆ,,,,,,,,,,,,,,,,,,,,,,,,,1
(株)中部,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)中部技術サービス,Ｋ,,,,,,,,,,,,,,,,,,,,,,,,,
中部ソフト・エンジニアリング(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)中部プラントサービス,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
中部松下システム(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
中日新聞社,Ｇ,,,,,,1,,,,,,,,,,,,,,,,,,,
中菱エンジニアリング（株）,Ｅ,,,,,,,,,,,,,,,,,1,,,,,,,,
ツキオカフィルム製薬（株）,Ｅ,,,,,,,,,,,,,,1,,,,,,,,,,,
津田駒工業(株),Ｅ,,,,,,,,,,,,2,,,,1,,,,,,,,,
ＴＨＫ(株),Ｅ,,,,,,,1,,,,,,,,,,,,,,,,,,
ＴＲＩ情報システム(株),Ｇ,,,,,,,,,,,,,,1,,,,,,,,,,,
ＴＩＳ（株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,1,,
(株)ＴＳＳ,Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,
ＴＦＢファクトリーズ（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ティエスティ,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
ＴＣＭ(株)                             (旧東洋運搬機）     ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ディジタル・ツーカ北陸,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ティーネットジャパン,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
ディーピーティー(株),Ｒ,,,,,,,,,,,,,,,,,,1,,,,,,,
(株)テクニカフクイ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)テクノカルチャー,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）テクノプロ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
デジタルファッション(株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
テバ製薬(株),Ｅ,,,,,,,,,,,1,,,,,,,,,,,,,,
デュプロ北陸販売(株),Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)電算システム,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)天晴データネット,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)デンソ－,Ｅ,,,1,,,,,,,,,,,,,,,,,,,,,,
（株）デンソークリエイト,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
デンソーテクノ(株) ,Ｅ,,,1,,,,,,,,,,,,,,1,,,,,,,,
東海興業（株）,Ｅ,,,,,,2,,,,,,,,,,1,,,,,,,,,
東海挾範(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東海ゴム工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)東海スプリング製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東海ソフト(株)　　　　　　　　　   ,Ｅ,,,,,,,,,,,,,,,,,,1,,,,,,,
(株)東海理化電機製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東海旅客鉄道(株),Ｈ,,,,,,,,,,,1,,,,,,,,,,,,,,
（株）ドーガ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
東京エレクトロン山梨（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
東京コンサルタンツ㈱,Ｄ,,,,,,,,,,,,,,,1,,,,,,,,,,
東京コンピューターサービス(株),Ｒ,,1,,,,,,,,,,,,,,,,,,,,,,,
東京製鋼,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東京システムズ(株)　　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
東京タングステン(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東京ドロウイング(株),Ｌ,,,,,,,,,,,1,,,,,,,,,,,,,,
東久(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東興薬品工業（株）,Ｅ,,,,1,,,,,,,,,,,,,,,,,,,,,
(株)東振　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東芝情報制御システム(株)      ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
東芝セラミックス(株)             ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)トウネツ        ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東北日本電気ソフトウエア(株)      ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
東洋機械金属(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東洋電機製造(株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東洋ゴム工業（株）　　　,Ｅ,1,,,,,1,,,,,,,,,,,,,,,,,,,
東洋ハーネス(株)　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
東陽理科学研究所  ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)東知,Ｅ,,,,,,,,,,,,,,,,,1,,,,,,,,
東和工業(株),L,,,,,,,,,,,,1,,,,,,,,,,,,,
(株)トーエネック,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,
トーカイ(株),Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
トーテックアメニティ(株),Ｒ,,,,,,,,,,,,,1,,,,,1,,,,,,,
ＴＯＷＡ㈱,Ｅ,,,,,,,,,,,,,,,,1,,,,,,,,,
凸版印刷(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)豊幸,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
豊興工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)トヨタコミュニケーションシステム,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
トヨタ車体(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
トヨタ情報システム愛知(株),Ｇ,,,,,,,,,,,,1,,,,,,,,,,,1,,
豊田合成(株),Ｅ,,1,,,,,,,,,,,,,,,,,,,,,,,
豊田鉄工(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
トヨタ紡織(株),Ｅ,,1,,,,,,,,,,,,,,,,,,,,,,,
トヨタテクニカルディペロップメント(株),Ｌ,,1,,1,,,,,,,,,,,,,,,,,,,,,
トヨタプロダクションエンジニアリング,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)トランテックス,Ｈ,,,,,,,,,,,,,,,,1,,,,,,,,,
ドリームファクトリ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
酉島製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)トレックス,Ｊ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）土木管理総合試験所,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,1
ナカシャクリエイティブ(株),Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
中日本印刷(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
中日本技研(株),Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
中日本ハイウェイ・エンジニアリング名古屋㈱,Ｄ,,,,,,,,,,,,,,,,,,,,1,,,,,2
長野電鉄(株) 　　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
長野日本無線エンジニアリング(株)    ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
中村科学工業㈱,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
中村留精密工業(株),Ｅ,,,,,,,1,,,,,,,,,,,2,,,,,,,
中村ターンテック（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,
ナカモ(株),Ｅ,,,,1,,,,,,,,,,,,,,,,,,,,,
(株)ナカヨ通信機　　　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
名古屋製酪(株),Ｅ,,,,1,,,,,,,,,,,,,,,,,,,,,
名古屋パルプ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ナックグループ  　　　　　　   ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ナナオ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ナベヤ(株),Ｅ,,,,,,,1,,,,,,,,,,,,,,,,,,
永島製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,1,,,
鍋屋バイテック(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
南部化成(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
新潟トランシス,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
西垣林業（株）,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,1
西島(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)西島鉄工所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
西日本旅客鉄道(株）,Ｈ,,,,,,,1,,,,,,,,1,,,,,1,,,,,1
(株）西原ネオ,Ｅ,,,,,,,,,,,,,,,,1,,,,,,,,,
日亜化学工業 (株）,Ｅ,,,,,,,,,1,,,,,,,,,,,,,,,,
ニチコン(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日南,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日産化学工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日産テクノ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
日信工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,
(株)ニッソーサービス,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日総興産(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ニッパ,Ｅ,1,,,,,,,,,,,,,,,,,,,,,,,,
(株)ニッポンジーン,Ｅ,,,,1,,,,,1,,,,,,,,,,,,,,,,
コマツＮＴＣ（旧　日平トヤマ）　　　　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日邦産業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ニデック(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本安全産業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本板硝子,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本オーチス・エレベータ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本カーボン(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本重化学工業(株) ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本ケーブル・システム(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本コーテッドアブレーシブ(株)    　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本高周波鋼業,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本原子力防護システム(株),Ｄ,,,,,,,,,,,,,1,,,,,,,,,,,,
日本コンピュータサイエンス(株)  ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
日本コンピュータ･システム(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
日本サーボ(株) 　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本サーキット工業(株)       ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
日本食研,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本生命相互会社  ,Ｊ,,,,,,,,,,,,,,,,,,,,,,,,,
(株) 日本テクシード,Ｒ,,,,,,,,1,,,,,,,,,,,,,,,,,
日本データコントロール,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
日本電気通信システム(株)      ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
日本電気マイコンテクノロジー(株)  ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
日本電産（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
日本電子開発(株) 　,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
日本電話施設(株),Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,
日本ビジネス開発(株)　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日本プラスト　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本プロファイル工業(株)  ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本マイヤ－(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日本マイクロシステム,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日本マクドナルド　,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
日本マリンテクノ(株)       ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日本ロック,Ｅ,,,1,,,,,,,,,,,,,,1,,,,,,,,
(株)ニューメディア総研,Ｇ,,,1,,,,,,,,,,,,,,,,,,,,,,
ネオ製薬工業（株）,Ｅ,,,,,,,,,1,,,,,,,,,,,,,,,,
(株)ネクスコ・エンジニアリング新潟,Ｄ,1,,,,,,,,,,,,,,,,,,,,,,,,
(株)ノエビア　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ノーリツ鋼機(株)　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)能登　　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ノックスデータ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
野原電研(株)　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)野村精一会計事務センター,Ｐ,,,,,,,,,,,,,,,,,,,,,,,,,
ハイウェイ・ト－ル・システム㈱,Ｌ,,,,,,,1,,,,,,,,,,,,,,,,,,
(株)パイロット　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ハイテック　　　,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
ハイテクシステム（株）,Ｇ,,,,,,,,1,,,,,,,,,,,,,,,,,
（株）ハイン,Ｒ,,,,,,,1,,,,,,,,,,,,,,,,,,
パスカル,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
パスカルエンジニアリング,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
パナソニックシステムソリューションズ(株)(旧松下システムソリューションズ）,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
パナソニックセミコンダクターエンジニアリング(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
パナソニック半導体システムテクノ(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
パナソニックフォト・ライティング(株)（旧ウエスト電気）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)畑山製衡所        ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
八十二システム開発(株),Ｑ,,,,,,,,,,,,,,,,,,1,,,,,1,,
発紘電機(株)　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
パナソニック（旧松下電器産業）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
浜名湖電装(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
浜名部品工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
原田通信(株)　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)バンテクノ　　　　　　　　　　　,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ハンシン建設　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ピーエスジー,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ＰＦＵ,Ｇ,,,,,,,,,,,,1,,,,,,,,,,,,,
(株)ＰＦＵソフトウエアラボラトリ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株）ＢＢＳ金明,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)柊ソフト開発,Ｇ,,,,,,,,,,,,1,,,,,,,,,,,,,
(株)ＢＰＡ,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
日置電機(株)　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株)光製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)樋口製作所,Ｅ,,,,,,,,,,,,1,,,,,,,,,,,,,
久野金属工業(株)　　　　　　　　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）ビーシーシー,Ｇ,,,,,,,,1,,,,,,,,,,,,,,,,,
(株)ビジュアルソフト,Ｇ,,,,,,,,,,,,,1,,,,,,,,,,,,
(株)日立ＩＥシステム,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日立エーアイシー(株)　　　              ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立エンジニアリングサービス　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日立機電工業(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立国際電気 ,Ｅ,,,,,,,1,,,,,,,,,,,,,,,,,,
(株)日立国際電気エンジニアリング      (旧国際電気アルファ）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日立建機ビジネスフロンティア（株）,Ｇ,,,,,,,1,,,,,,,,,,,,,,,,,,
(株)日立システムアンドサービス,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立情報システムズ　,Ｇ,,,1,,,,,,,,,,,,,,,,,,,,,,
日立ソフトウエアエンジニアリング(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
日立ツール(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立プラントテクノロジー         (旧日立テクノエンジニアリング・日立プラント建設）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日立電子サービス(株)  ,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立西エンジニアリングサービス         ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立ハウステック,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立ビルシステム                       (旧日立ビル施設エンジニアリング）      ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日立物流ソフトウェア(株),Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
日立プラント建設サービス(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ひまわりネットワーク,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ヒミカ,Ｇ,,,,,,,,,,,,,1,,,,,,,,,,,,
広島エルピーダメモリ(株)                      (旧広島日本電気）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ブレイン　　　　,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
ファインフーズ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ファブリカトヤマ,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
（株）ファルコバイオシステムズ,Ｒ,,,,,,,,,,,,,,,,,,,,,,,,,
フェニテックセミコンダクター,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
フォスター電機(株),Ｅ,,,,,,,,,,,,1,,,,,,,,,,,,,
(株)フォーラム・エンジニアリング　  ,Ｒ,,,,,,,,1,,1,,,1,,,,,,,,1,,,,
福井コンピュータ(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
福井システムズ(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)福井鉄工所　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
福井めがね工業(株) ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)福島情報処理センター,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
福伸電機(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
フクダ電子北陸販売(株),Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
不二化学薬品(株)   ,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
富士製薬工業(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,2,,,,,,
富士機械製造(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
富士機工(株),Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
フタバ産業(株),Ｅ,1,,,,,,,,,,,,,,,,,,,,,,,,
藤沢メディカルシステム(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
富士重工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
富士ゼロックス北陸(株)                                   (旧北陸ゼロックス）　　　　　  ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
富士ゼロックスマニファクチュアリング（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
富士ソフト(株)(旧富士ソフトＡＢＣ）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）富士通ＩＴプロダクツ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)富士通エフサス                                    (旧富士通サポートアンドサービス）   ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
