企　業　名,職種,22年度,,,,,23年度,,,,,24年度,,,,,25年度,,,,,26年度,,,,
,,機,知,情,生,電,機,知,情,生,電,機,知,情,生,環,機,知,情,生,環,機,知,情,生,環
岩瀬コスファ(株),Ｉ,,,,1,,,,,,,,,,,,,,,,,,,,,
インターフェイス(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)インテックソリューションパワー　　　　　　　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ヴィッツ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ウイル,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ウイルコ                           (旧ウイル・コーポレーション）,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
宇都宮工業(株),Ｅ,1,,,,,,,,,,,,,,,,,,,,,,,,
(株)生方製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ウラセ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
エアーニッポン(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
えいすうグループ,Ｏ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)エイチアンドエフ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ＨＬＳ,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
エスアールエル(株),Ｅ,,,,,,,,,,,,,,,,,,,1,,,,,,
エースアカデミー,Ｏ,,,,,,,,,,,,,,,,,,,,,,,,,
ＳＵＳ（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,1,,
(株)エクセディ,Ｅ,1,,,,,,,,,,,,,,,,,,,,,1,,,
エクセル(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）エスラインギフ,Ｈ,,,,,,,,,,,,,,,,,,,,,,1,,,
ＦＦＣシステムズ　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＥＣ（日本電気）(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＥＣエンジニアリング(株)　　　　　 ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＥＣソフトウエア北陸(株)      ,Ｇ,,,,,,,,1,,,,,1,,,,1,,,,,,,,
ＮＥＣソリューションイノベータ（株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,1,,
エヌ・エス・ファインメタル(株)　　　　　   ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ＮＳコンピュータサービス,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ＮＴＣ,Ｇ,,,,,,,,1,,,,,,,,,,,,,,1,,,
ＮＴＴ(株) 　　　　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＴＴ-ＡＴシステムズ(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＴＴ－ＭＥ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ＮＴＴドコモ北陸　　　　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ＮＴＴネオメイト　　,Ｇ,,,,,,,,1,,,,,,,,,,,,,,,,,
(株)ＮＴＴデータ北陸,Ｇ,,,,,,,,1,,,,,1,,,,,,,,,,,,
(株）ＮＴＴフィールドテクノ,Ｇ,,,,,,,,,,,,,,,,,,,,,,1,,,
(株)エヌビーシー,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)エヌワ－ク　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
榎本工業(株)       ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
荏原商事(株)       ,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)荏原製作所　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ＦＦＣシステムズ　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ＭＣＯＲ（エムコア）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
ＭＴＫ(株)　　　　　　　　　  ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
エンシュウ(株) 　　,Ｅ,,,,,,,,,,,,1,,,,1,,,,,,,,,
エンゼルプレイングカード（株）,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,1,
大岡技研（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
